"FID_","ID_final","Aedes.aegypti","Aedes.albopictus","Aedes.atropalpus","Aedes.dupreei","Aedes.infirmatus","Aedes.sollicitans","Aedes.taeniorhynchus","Aedes.tortilis","Aedes.triseriatus","Aedes.vexans.sensu.lato","Anopheles.albimanus","Anopheles.atropos","Anopheles.barberi","Anopheles.perplexens","Anopheles.punctipennis","Anopheles.quadrimaculatus","Coquillettidia.perturbans","Culex.coronator","Culex.erraticus","Culex.iolambdis","Culex.nigripalpus","Culex.quinquefasciatus","Culex.restuans","Culex.salinarius","Culex.tarsalis","Culex.territans","Culiseta.inornata","Culiseta.melanura","Mansonia.dyari","Mansonia.titillans","Orthopodomyia.alba","Psorophora.ciliata","Psorophora.columbiae","Psorophora.cyanescens","Psorophora.ferox","Psorophora.horrida","Psorophora.howardii","Uranotaenia.lowii","Uranotaenia.sapphirina","Wyeomyia.mitchellii","Wyeomyia.vanduzeei","Anopheles.crucians.complex2","Aedes.atlanticus.tormentor.morphological.group2","Aedes.mathesoni.complex2","Aedes.fulvus2","pland_1","pland_2","pland_13","pland_15","pland_16","year","Long_final","Lat_final"
26,"s40",0,0,NA,0,5.115384615,0,0,0,0.230769231,0,0,0,0,0,0,2.807692308,1.269230769,0.384615385,6.115384615,0,191.8461538,0.769230769,0,0,0,0,0,3.076923077,0.076923077,2.076923077,0,0.346153846,84.46153846,0,0.384615385,0,0,0,0.038461538,0,0,28.69230769,0.038461538,0,0,0,7.073954984,6.752411576,4.180064309,21.22186495,2016,-82.133,27.427
31,"s46",0,0.25,NA,0,3.375,0,0.166666667,0,0.041666667,0.041666667,0,0,0,0,0,2.708333333,1.5,0.666666667,18.20833333,0,171.25,0,0,0,0,0,0,0,0.833333333,1.666666667,0,0.083333333,10.41666667,0,0.291666667,0,0.166666667,0,0,0.208333333,0.041666667,32.54166667,1.458333333,0,0,2.229299363,65.92356688,0.955414013,5.732484076,4.140127389,2016,-82.439,27.439
32,"s50",1.37037037,0,NA,0,0.222222222,0,0.185185185,0,0,0.074074074,0,0.037037037,0,0,0,0.333333333,0,0.444444444,0.074074074,0,34,0,0,0,0,0,0,0,0.259259259,0.148148148,0,0,1.185185185,0,0,0,0,0,0,0,0,0.185185185,0,0,0,1.587301587,97.14285714,0,0.317460317,0,2016,-82.5489,27.4394
34,"s45",0,0.366666667,NA,0,22.96666667,0,0.2,0,0,0,0,0,0,0,0,9.266666667,0.233333333,0.233333333,7.6,0,197.3,0.166666667,0,0,0,0,0,0,0.133333333,1.333333333,0,0.166666667,11.26666667,0,1.933333333,0.266666667,0.533333333,0.433333333,0.133333333,0,0,156.3,8.233333333,0,0,2.243589744,61.21794872,2.564102564,6.41025641,3.205128205,2016,-82.4358,27.4424
36,"s51",0.206896552,0.275862069,NA,0,312.0344828,0,0.137931034,0,0,0,0,0,0,0,0,0,0.275862069,0,12.48275862,0,1385.551724,0,0,0,0,0,0,0,0,0,0,0,0,0,49.93103448,0,0,2.310344828,0,0,0,82.13793103,29.86206897,0,0,12.17948718,79.48717949,0,0.641025641,3.205128205,2016,-82.6205,27.4472
38,"s48",0.266666667,0.233333333,NA,0,4.433333333,0,28.46666667,0,0,0,0,1.733333333,0,0,0,3.433333333,0.233333333,0.2,5.933333333,0,391.1333333,0.766666667,0,0,0,0,0,0,0.5,3.2,0,0.2,49.13333333,0,0.4,0,0.266666667,0,0,0,0,17.06666667,0.033333333,0,0.033333333,8.571428571,85.71428571,0,2.53968254,1.26984127,2016,-82.499,27.449
40,"s41",0.123076923,0.076923077,NA,0,10.81538462,0.030769231,0.076923077,0,1.061538462,1.184615385,0,0.153846154,0,0,0,1.553846154,1.353846154,0.461538462,23.78461538,0,504.6923077,0,0,0.015384615,0,0,0,0,2.507692308,2.523076923,0,0.538461538,197.7230769,0.230769231,5.553846154,0,0.030769231,1.846153846,0.261538462,0,0,22.38461538,3.015384615,0,0,8.917197452,4.140127389,29.61783439,2.547770701,12.10191083,2016,-82.304,27.464
42,"s52",8.846153846,0,NA,0,0.269230769,0.115384615,9.5,0,0,0.038461538,0,0,0,0,0,0,0,0,0.115384615,0,3.615384615,0.038461538,0,0,0,0,0,0,0,0,0,0,0.038461538,0,0.038461538,0,0,0,0,0,0,0.076923077,0.038461538,0,0,68.86792453,18.23899371,0.314465409,2.51572327,5.660377358,2016,-82.6843,27.4685
44,"s32",1.034482759,0.448275862,NA,0,23.34482759,0,5.482758621,0,0,0.034482759,0,0,0,0,0,1.24137931,0,1.862068966,4.724137931,0,397.6896552,1.103448276,0.206896552,0.965517241,0,0,0,0,0.206896552,0.103448276,0,0.172413793,12.24137931,0,6.344827586,0,0.586206897,0.586206897,0.75862069,0,0,39.24137931,0.103448276,0,0,5.063291139,92.72151899,0,0.316455696,0.949367089,2016,-82.524,27.47
46,"s39",0,0.049180328,NA,0,5.704918033,0,0,0,0,0.049180328,0,0,0,0,0,3.590163934,0.590163934,0,36.08196721,0,456.3770492,0,0,0,0,0,0,1.147540984,5.245901639,10.80327869,0,0.409836066,178.1967213,0.032786885,2.475409836,0,0.032786885,0,0.098360656,0,0,59.27868852,1.295081967,0,0,0.949367089,9.810126582,25.3164557,8.544303797,12.02531646,2016,-82.17,27.471
