"x","y","pland_1","pland_2","pland_13","pland_15","pland_16"
-82.249151438,27.207676061,0,0,0,26.2658227848101,62.6582278481013
-82.240283276,27.207676061,0,0,0.958466453674121,25.8785942492013,63.258785942492
-82.231415114,27.207676061,0,0,1.25786163522013,24.8427672955975,64.7798742138365
-82.222546952,27.207676061,0,0,1.2779552715655,22.3642172523962,67.7316293929712
-82.21367879,27.207676061,0,0,1.57728706624606,21.4511041009464,67.8233438485804
-82.204810628,27.207676061,0,0,1.59744408945687,18.8498402555911,67.4121405750799
-82.195942466,27.207676061,0,0,1.26182965299685,15.7728706624606,63.0914826498423
-82.187074304,27.207676061,0,0,1.6025641025641,15.7051282051282,54.4871794871795
-82.178206142,27.207676061,0,0,1.58730158730159,13.3333333333333,47.6190476190476
-82.16933798,27.207676061,0,0,1.60771704180064,12.2186495176849,36.0128617363344
-82.160469818,27.207676061,0,0,1.58730158730159,10.7936507936508,27.9365079365079
-82.151601656,27.207676061,0,0,2.2508038585209,9.96784565916399,20.9003215434084
-82.142733494,27.207676061,0,0,4.45859872611465,8.9171974522293,12.4203821656051
-82.133865332,27.207676061,0,0,6.43086816720257,11.2540192926045,8.03858520900322
-82.12499717,27.207676061,0,0,7.61904761904762,13.968253968254,6.34920634920635
-82.116129008,27.207676061,0,0,10.8974358974359,17.3076923076923,8.01282051282051
-82.107260846,27.207676061,0,0,12.9746835443038,20.5696202531646,11.7088607594937
-82.098392684,27.207676061,0,0,14.1479099678457,20.2572347266881,10.9324758842444
-82.089524522,27.207676061,0,0,12.0253164556962,21.2025316455696,11.3924050632911
-82.08065636,27.207676061,0,0,13.0990415335463,19.8083067092652,13.7380191693291
-82.071788198,27.207676061,0,0,10.7594936708861,21.8354430379747,16.7721518987342
-82.062920036,27.207676061,0,0,7.66773162939297,22.3642172523962,17.8913738019169
-82.249151438,27.216544223,0,0,0,26.5822784810127,65.8227848101266
-82.240283276,27.216544223,0,0,0.315457413249211,27.7602523659306,65.9305993690852
